article_title,url,country,article_quality,revision_id,region,population
Behxhet Nepravishta,https://en.wikipedia.org/wiki/Behxhet_Nepravishta,Albania,Stub,1180949734,SOUTHERN EUROPE,2.7
Adrian Neritani,https://en.wikipedia.org/wiki/Adrian_Neritani,Albania,Start,1196135017,SOUTHERN EUROPE,2.7
Sali Nivica,https://en.wikipedia.org/wiki/Sali_Nivica,Albania,Start,1240539074,SOUTHERN EUROPE,2.7
Thoma Orologa,https://en.wikipedia.org/wiki/Thoma_Orologa,Albania,Start,1180949774,SOUTHERN EUROPE,2.7
Bedri Pejani,https://en.wikipedia.org/wiki/Bedri_Pejani,Albania,C,1220757655,SOUTHERN EUROPE,2.7
Kadri Prishtina,https://en.wikipedia.org/wiki/Kadri_Prishtina,Albania,Start,1198167947,SOUTHERN EUROPE,2.7
Ymer Prizreni,https://en.wikipedia.org/wiki/Ymer_Prizreni,Albania,Start,1215667416,SOUTHERN EUROPE,2.7
Avni Rustemi,https://en.wikipedia.org/wiki/Avni_Rustemi,Albania,Start,1229276965,SOUTHERN EUROPE,2.7
Chatin Sarachi,https://en.wikipedia.org/wiki/Chatin_Sarachi,Albania,C,1141930406,SOUTHERN EUROPE,2.7
Nebi Sefa,https://en.wikipedia.org/wiki/Nebi_Sefa,Albania,Stub,1244486537,SOUTHERN EUROPE,2.7
Eduard Shalsi,https://en.wikipedia.org/wiki/Eduard_Shalsi,Albania,Start,1173107489,SOUTHERN EUROPE,2.7
Ylli Vesel Shehu,https://en.wikipedia.org/wiki/Ylli_Vesel_Shehu,Albania,Stub,1250811470,SOUTHERN EUROPE,2.7
Athanas Shundi,https://en.wikipedia.org/wiki/Athanas_Shundi,Albania,C,1220369492,SOUTHERN EUROPE,2.7
Xhelal Sveçla,https://en.wikipedia.org/wiki/Xhelal_Sveçla,Albania,Start,1217259369,SOUTHERN EUROPE,2.7
Mehmet Tahsini,https://en.wikipedia.org/wiki/Mehmet_Tahsini,Albania,Stub,1239924043,SOUTHERN EUROPE,2.7
Ibrahim Temo,https://en.wikipedia.org/wiki/Ibrahim_Temo,Albania,GA,1228151428,SOUTHERN EUROPE,2.7
Afrim Tole,https://en.wikipedia.org/wiki/Afrim_Tole,Albania,Stub,1241836925,SOUTHERN EUROPE,2.7
Syreja Vlora,https://en.wikipedia.org/wiki/Syreja_Vlora,Albania,Start,1186986269,SOUTHERN EUROPE,2.7
Visarion Xhuvani,https://en.wikipedia.org/wiki/Visarion_Xhuvani,Albania,C,1135323365,SOUTHERN EUROPE,2.7
Visar Ymeri,https://en.wikipedia.org/wiki/Visar_Ymeri,Albania,Stub,1248230838,SOUTHERN EUROPE,2.7
Abdyl Ypi,https://en.wikipedia.org/wiki/Abdyl_Ypi,Albania,Stub,1220281072,SOUTHERN EUROPE,2.7
Xhezair Zaganjori,https://en.wikipedia.org/wiki/Xhezair_Zaganjori,Albania,Start,1143896123,SOUTHERN EUROPE,2.7
Menduh Zavalani,https://en.wikipedia.org/wiki/Menduh_Zavalani,Albania,FA,1235824554,SOUTHERN EUROPE,2.7
Abdelkader Zoukh,https://en.wikipedia.org/wiki/Abdelkader_Zoukh,Algeria,Start,1250270534,NORTHERN AFRICA,46.8
Chaâbane Aït Abderrahim,https://en.wikipedia.org/wiki/Chaâbane_Aït_Abderrahim,Algeria,Start,1234096174,NORTHERN AFRICA,46.8
Ali Aoun,https://en.wikipedia.org/wiki/Ali_Aoun,Algeria,Start,1214835889,NORTHERN AFRICA,46.8
Basma Azouar,https://en.wikipedia.org/wiki/Basma_Azouar,Algeria,Stub,1192088820,NORTHERN AFRICA,46.8
Mohamed Seghir Babes,https://en.wikipedia.org/wiki/Mohamed_Seghir_Babes,Algeria,Stub,1226280389,NORTHERN AFRICA,46.8
Noureddine Bahbouh,https://en.wikipedia.org/wiki/Noureddine_Bahbouh,Algeria,Stub,1099284595,NORTHERN AFRICA,46.8
